city,city_href,country,country_href
"Itapecuru Mirim, MA",/bus/itapecuru-mirim-ma,Brazil,/bus/brazil
"Itapema, SC",/bus/itapema-sc,Brazil,/bus/brazil
"Itaúba, MT",/bus/itauba-mt,Brazil,/bus/brazil
"Itumbiara, GO",/bus/itumbiara-go,Brazil,/bus/brazil
"Jaborandi, BA",/bus/jaborandi-ba,Brazil,/bus/brazil
"Jacareí, SP",/bus/jacarei-sp,Brazil,/bus/brazil
"Jaciara, MT",/bus/jaciara-mt,Brazil,/bus/brazil
"Jacobina, BA",/bus/jacobina-ba,Brazil,/bus/brazil
"Jaraguá do Sul, SC",/bus/jaragua-do-sul-sc,Brazil,/bus/brazil
"Jaú, SP",/bus/jau-sp,Brazil,/bus/brazil
"Jequié, BA",/bus/jequie-ba,Brazil,/bus/brazil
"João Monlevade, MG",/bus/joao-monlevade-mg,Brazil,/bus/brazil
"João Pessoa, PB",/bus/joao-pessoa-pb,Brazil,/bus/brazil
"João Pinheiro, MG",/bus/joao-pinheiro-mg,Brazil,/bus/brazil
"Joinville, SC",/bus/joinville-sc,Brazil,/bus/brazil
"Juazeiro do Norte, CE",/bus/juazeiro-do-norte-ce,Brazil,/bus/brazil
"Juazeiro, BA",/bus/juazeiro-ba,Brazil,/bus/brazil
"Juiz de Fora, MG",/bus/juiz-de-fora-mg,Brazil,/bus/brazil
"Jundiaí, SP",/bus/jundiai-sp,Brazil,/bus/brazil
"Junqueirópolis, SP",/bus/junqueiropolis-sp,Brazil,/bus/brazil
"Juscimeira, MT",/bus/juscimeira-mt,Brazil,/bus/brazil
"Jussara, GO",/bus/jussara-go,Brazil,/bus/brazil
"Lages, SC",/bus/lages-sc,Brazil,/bus/brazil
"Lajedão, BA",/bus/lajedao-ba,Brazil,/bus/brazil
"Limeira, SP",/bus/limeira-sp,Brazil,/bus/brazil
"Lins, SP",/bus/lins-sp,Brazil,/bus/brazil
"Londrina, PR",/bus/londrina-pr,Brazil,/bus/brazil
"Lorena, SP",/bus/lorena-sp,Brazil,/bus/brazil
"Lucas do Rio Verde, MT",/bus/lucas-do-rio-verde-mt,Brazil,/bus/brazil
"Lucélia, SP",/bus/lucelia-sp,Brazil,/bus/brazil
"Luis Eduardo Magalhães, BA",/bus/luis-eduardo-magalhaes-ba,Brazil,/bus/brazil
"Luziânia, GO",/bus/luziania-go,Brazil,/bus/brazil
"Maceió, AL",/bus/maceio-al,Brazil,/bus/brazil
"Mãe do Rio, PA",/bus/mae-do-rio-pa,Brazil,/bus/brazil
"Marília, SP",/bus/marilia-sp,Brazil,/bus/brazil
"Maringá, PR",/bus/maringa-pr,Brazil,/bus/brazil
"Matozinhos, MG",/bus/matozinhos-mg,Brazil,/bus/brazil
"Matupá, MT",/bus/matupa-mt,Brazil,/bus/brazil
"Medeiros Neto, BA",/bus/medeiros-neto-ba,Brazil,/bus/brazil
"Miranda do Norte, MA",/bus/miranda-do-norte-ma,Brazil,/bus/brazil
"Miranorte, TO",/bus/miranorte-to,Brazil,/bus/brazil
"Montes Claros, MG",/bus/montes-claros-mg,Brazil,/bus/brazil
"Morro do Chapéu, BA",/bus/morro-do-chapeu-ba,Brazil,/bus/brazil
"Mossoró, RN",/bus/mossoro-rn,Brazil,/bus/brazil
"Nanuque, MG",/bus/nanuque-mg,Brazil,/bus/brazil
"Natal, RN",/bus/natal-rn,Brazil,/bus/brazil
"Nobres, MT",/bus/nobres-mt,Brazil,/bus/brazil
"Nova Mutum, MT",/bus/nova-mutum-mt,Brazil,/bus/brazil
"Nova Santa Helena, MT",/bus/nova-santa-helena-mt,Brazil,/bus/brazil
"Olímpia, SP",/bus/olimpia-sp,Brazil,/bus/brazil
"Osasco, SP",/bus/osasco-sp,Brazil,/bus/brazil
"Osvaldo Cruz, SP",/bus/osvaldo-cruz-sp,Brazil,/bus/brazil
"Pacaembu, SP",/bus/pacaembu-sp,Brazil,/bus/brazil
"Palmas, TO",/bus/palmas-to,Brazil,/bus/brazil
"Palmeira das Missões, RS",/bus/palmeira-das-missoes-rs,Brazil,/bus/brazil
"Paracatu, MG",/bus/paracatu-mg,Brazil,/bus/brazil
"Paragominas, PA",/bus/paragominas-pa,Brazil,/bus/brazil
"Paraíso do Tocantins, TO",/bus/paraiso-do-tocantins-to,Brazil,/bus/brazil
"Paraty, RJ",/bus/paraty-rj,Brazil,/bus/brazil
"Passo Fundo, RS",/bus/passo-fundo-rs,Brazil,/bus/brazil
